Keyword Phrase,,,Keyword Sales,Magnet IQ Score,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Organic,Title Density,Smart Complete,Amazon Recommended,,category
sea life coloring book for adults,,,-,308,308,17,,,,258,">1,000",8,1,3,1,0,,coloring
sea life coloring book,,,-,282,282,-19,0.54,0.42,0.66,312,">1,000",8,1,11,0,0,,coloring
sea creatures coloring book,,,-,266,266,-9,0.45,0.29,0.46,194,">1,000",8,1,7,0,0,,coloring
scratch off coloring book for adults,,,-,"1,547",232,4,,,,251,150,8,0,0,1,0,,coloring
scratch coloring book for adults,,,5,600,390,-4,0.47,0.37,0.57,284,>650,8,0,0,1,0,,coloring
scary movie coloring book,,,-,253,253,-11,,,,265,">1,000",8,0,1,1,0,,coloring
scary coloring book,,,2,390,390,-5,0.47,0.27,0.72,351,">1,000",8,1,1,1,0,,coloring
scandi fashion coloring book,,,21,"27,988","2,351",-66,0.93,0.84,1.2,173,84,27,0,1,0,0,,coloring
scandi coloring book,,,6,"1,494",390,-33,0.87,0.73,1.23,262,261,8,0,0,1,0,,coloring
satisfying patterns coloring book bold and easy,,,-,987,312,-3,,,,389,>316,8,1,1,1,0,,coloring
satisfying patterns coloring book,,,30,"13,500","2,241",1,1.11,0.81,1.27,542,166,34,1,22,1,1,,coloring
satisfying coloring book,,,-,"1,472",237,-14,0.79,0.66,0.93,180,161,8,1,1,1,0,,coloring
sarcastic coloring book for adults,,,-,376,303,36,,,,195,>806,8,0,5,1,0,,coloring
sarah richter coloring book,,,-,"49,667",298,80,,,,14,6,8,0,0,1,0,,coloring
sanrio coloring book for adults,,,1,"1,915",385,-23,0.5,0.35,0.73,317,201,8,1,0,0,0,,coloring
sanrio coloring book,,,27,"4,608","1,530",-12,0.53,0.38,0.68,700,332,26,1,1,1,0,,coloring
sailor moon coloring book,,,8,"4,547",623,-11,0.52,0.4,0.78,349,137,10,0,2,1,0,,coloring
safari coloring book,,,5,612,361,39,0.48,0.46,0.62,247,>590,8,0,1,1,0,,coloring
sabrina carpenter coloring book,,,3,"6,271",439,-35,0.86,0.68,1.04,109,70,8,0,0,1,0,,coloring
ryans world coloring book,,,-,"2,402",245,72,,,,152,102,8,0,0,1,0,,coloring
rugrats coloring book for adults,,,-,978,262,12,,,,203,268,8,0,0,1,0,,coloring
rubber duck coloring book,,,-,876,204,8,,,,206,233,8,0,4,1,0,,coloring
rooms of wonder coloring book,,,4,"3,860",386,-6,0.73,0.52,1.21,252,100,8,0,0,1,0,,coloring
romantic vibes coloring book,,,-,796,203,1,0.87,0.74,1,262,255,8,0,0,1,0,,coloring
romantic country coloring book 3,,,-,"4,420",221,3,,,,58,50,8,0,0,1,0,,coloring
rodeo fun coloring book,,,-,"1,068",314,7,,,,405,294,8,0,0,1,0,,coloring
rock and roll coloring book,,,-,"1,399",298,39,,,,267,213,8,0,0,1,0,,coloring
rick and morty coloring book,,,7,"4,093",438,4,0.83,0.33,1,238,107,8,0,0,1,0,,coloring
reverse coloring book for kids,,,7,"1,463",414,-22,0.85,0.59,0.89,277,>283,8,0,17,1,0,,coloring
reverse coloring book,,,88,"4,395","3,991",-20,0.88,0.67,1.09,716,>908,42,0,40,0,1,,coloring
retro coloring book,,,2,244,244,-12,0.51,0.44,0.59,333,">1,000",8,0,5,1,1,,coloring
retirement coloring book,,,5,585,419,42,1.22,0.93,1.52,202,>716,8,0,14,1,0,,coloring
rest and reflect coloring book,,,-,"11,333",238,-14,,,,56,21,8,0,0,1,0,,coloring
respiratory coloring book,,,-,540,209,-26,,,,291,387,8,0,0,1,0,,coloring
reptile coloring book,,,5,423,333,-17,0.5,0.44,0.67,277,>787,8,0,4,1,0,,coloring
relaxing environment coloring book,,,-,"2,832",286,-18,,,,332,101,8,1,0,1,0,,coloring
real housewives coloring book,,,-,"3,648",259,-17,0.98,0.48,1.21,106,71,8,0,0,1,0,,coloring
rbg coloring book,,,-,"1,929",245,-12,,,,165,127,8,0,5,1,0,,coloring
rawsueshii coloring book,,,1,"8,073",331,128,0.45,0.42,0.91,44,41,8,1,0,0,0,,coloring
rapper coloring book,,,-,"1,931",251,-6,0.37,0.34,0.48,295,130,8,0,2,1,0,,coloring
rainbow hearts coloring book,,,-,285,275,3,,,,394,965,8,0,0,1,0,,coloring
rainbow friends coloring book,,,7,"2,394",407,-10,0.62,0.54,0.7,274,>170,8,1,0,0,0,,coloring
quacky days coloring book,,,9,"6,292",453,-33,0.91,0.82,1,116,72,8,0,0,1,1,,coloring
put a bow on it coloring book,,,-,"4,386",307,-16,0.64,0.58,0.96,96,70,8,1,1,0,0,,coloring
pusheen coloring book,,,41,"6,451","1,129",-29,0.59,0.42,0.73,782,>175,26,0,2,1,0,,coloring
purr moments coloring book,,,-,991,114,-50,0.66,0.57,0.75,78,115,8,1,0,1,1,,coloring
punk rock pets coloring book,,,-,"10,500",210,16,,,,38,20,8,0,1,1,0,,coloring
pumpkin pals coloring book,,,-,"3,070",218,-13,,,,84,71,8,0,0,1,0,,coloring
pump rules coloring book,,,1,"2,638",306,153,0.68,0.58,0.98,156,116,8,0,2,1,0,,coloring
puffy friends coloring book,,,0,"3,766",403,8,0.51,0.5,0.72,126,107,8,0,0,0,0,,coloring
psychedelic coloring book,,,5,506,446,2,0.79,0.64,0.85,298,>881,8,0,17,1,0,,coloring
psalms coloring book,,,8,641,331,-20,0.39,0.33,0.57,296,>516,8,0,8,1,0,,coloring
professional grade adult coloring book,,,-,"1,385",320,75,,,,289,231,8,1,0,0,0,,coloring
princess stoner coloring book,,,2,410,376,49,0.46,0.39,0.69,177,917,8,0,9,1,0,,coloring
princess coloring book for adults,,,-,208,208,-28,0.45,0.37,0.56,360,">1,000",8,0,4,1,0,,coloring
pride and prejudice coloring book,,,5,"2,925",310,10,,,,282,106,8,0,2,1,0,,coloring
pretty city new york coloring book,,,-,"4,615",240,14,,,,45,52,8,0,0,1,0,,coloring
preppy stuff coloring book,,,-,"1,758",269,-6,0.66,0.54,0.76,296,153,8,1,2,1,0,,coloring
preppy coloring book for girls,,,-,560,223,4,0.67,0.62,0.72,274,>398,8,1,0,0,0,,coloring
preppy coloring book,,,10,"1,242","1,242",-11,0.89,0.6,0.92,730,">1,000",28,1,8,1,0,,coloring
pregnancy coloring book,,,2,514,241,5,1.41,1.07,1.69,191,>469,8,0,6,1,0,,coloring
precious moments coloring book,,,6,"5,639","1,173",0,0.4,0.29,0.52,558,208,26,0,2,1,0,,coloring
practice makes pretty coloring book,,,-,555,256,-21,,,,257,461,8,1,0,0,0,,coloring
posca markers coloring book,,,-,"1,086",317,1,,,,270,292,8,1,0,0,0,,coloring
pop manga coloring book,,,6,852,460,5,0.67,0.64,0.88,379,>540,8,0,5,1,0,,coloring
poop emoji coloring book,,,-,"1,225",245,30,,,,163,200,8,0,4,1,0,,coloring
poop coloring book for adults,,,-,225,223,-12,,,,286,993,8,0,0,1,0,,coloring
pom pom and friends coloring book,,,-,"1,930",222,-22,,,,198,115,8,1,0,1,0,,coloring
polly pocket coloring book adult,,,-,"2,684",255,11,,,,161,95,8,1,0,1,0,,coloring
polar nights coloring book,,,-,"2,631",221,-2,0.74,0.61,0.78,81,84,8,0,0,1,0,,coloring
pocket world coloring book,,,5,637,410,0,0.87,0.78,1.1,444,>644,8,1,1,1,0,,coloring
pocket peaches coloring book,,,-,"12,842",244,-14,,,,47,19,8,1,1,1,0,,coloring
pixel coloring book for adults,,,-,259,216,12,,,,194,>834,8,0,0,1,0,,coloring
pixel art coloring book,,,1,474,395,-2,0.52,0.5,0.62,296,>833,8,0,21,1,0,,coloring
pixar coloring book,,,7,"1,027",451,-2,0.47,0.4,0.54,323,>439,8,1,1,1,0,,coloring
pirates of the caribbean coloring book,,,-,854,316,-1,,,,225,370,8,0,0,1,0,,coloring
pirates bold and easy coloring book,,,-,"1,472",240,-8,0.53,0.52,0.62,175,163,8,0,0,0,0,,coloring
pilgrim soul coloring book,,,-,"5,810",244,13,,,,56,42,8,0,0,1,0,,coloring
pharmacy coloring book for adults,,,-,363,221,-14,,,,303,608,8,0,3,1,0,,coloring
petals and profanity coloring book,,,9,"13,077",340,1,,,,42,26,8,0,0,1,0,,coloring
pet moments coloring book,,,-,"1,115",204,-41,0.61,0.49,0.74,319,>183,8,1,2,1,0,,coloring
percy jackson coloring book,,,3,"6,815",443,-7,0.6,0.47,0.76,88,65,8,0,2,1,0,,coloring
penis coloring book,,,10,"2,277",469,-4,0.93,0.79,1.04,316,206,8,0,7,1,0,,coloring
pedro pascal coloring book,,,-,"17,824",303,36,0.68,0.38,0.94,34,17,8,0,1,1,0,,coloring
peanuts coloring book,,,3,"2,071",439,2,0.57,0.47,0.81,211,212,8,0,1,1,0,,coloring
peach n chips coloring book,,,-,"5,340",283,-48,0.52,0.42,1.01,97,53,8,0,0,0,0,,coloring
peace be with you coloring book,,,-,871,216,-25,,,,370,248,8,0,0,1,0,,coloring
pawsome moments coloring book,,,-,"8,107",227,-28,,,,33,28,8,0,0,1,0,,coloring
paws and hearts coloring book,,,-,693,241,-3,0.44,0.39,0.49,290,348,8,1,0,0,0,,coloring
paws a coloring book for dog lovers,,,-,318,318,-8,,,,290,">1,000",8,0,1,1,0,,coloring
pawfect moments coloring book,,,-,"7,571",212,-14,0.8,0.65,1.04,52,28,8,1,0,1,0,,coloring
paw patrol magic ink coloring book,,,-,609,227,36,,,,205,373,8,0,0,1,0,,coloring
paw patrol coloring book ages 5-8,,,-,523,242,-17,0.62,0.47,0.75,285,463,8,0,0,1,0,,coloring
pattern practice coloring book,,,-,385,283,-11,0.53,0.42,1,395,>736,8,0,1,1,0,,coloring
passover coloring book,,,-,615,214,-63,0.53,0.48,0.58,377,>348,8,0,5,1,0,,coloring
party favor coloring book mini with crayons,,,-,448,312,-4,,,,244,697,8,1,0,0,0,,coloring
pararescue coloring book,,,-,"35,000",245,-15,0.85,0.47,0.97,21,7,8,0,2,1,0,,coloring
paralegal coloring book,,,-,"2,070",294,73,0.64,0.57,0.87,114,142,8,0,4,1,0,,coloring
panda coloring book,,,9,674,383,-8,0.65,0.54,0.82,237,>568,8,0,24,1,0,,coloring
palestine coloring book,,,-,"2,111",247,-17,,,,102,117,8,0,3,1,0,,coloring
owl coloring book for kids,,,-,716,202,-10,,,,141,>282,8,0,4,1,0,,coloring
overwatch coloring book,,,-,"3,553",270,4,1,0.59,1.03,86,76,8,0,1,1,0,,coloring
outerbanks coloring book,,,-,"12,316",234,-4,0.73,0.56,0.85,46,19,8,0,0,0,0,,coloring
optical illusion coloring book,,,-,855,254,37,1.37,1.06,1.73,253,>297,8,0,5,0,0,,coloring
ooly coloring book,,,16,"1,501",518,-21,0.59,0.54,0.64,340,345,9,0,0,1,0,,coloring
one piece coloring book,,,21,"9,338","1,242",-12,0.64,0.53,0.73,698,133,27,0,4,1,0,,coloring
one direction coloring book dots lines spirals,,,-,"16,846",219,-16,,,,17,13,8,0,0,1,0,,coloring
omz coloring book,,,-,"16,071",225,22,,,,10,14,8,0,0,1,0,,coloring
olivia rodrigo coloring book,,,2,"6,564",361,-29,0.89,0.76,1.03,82,55,8,1,0,0,0,,coloring
old street corners coloring book for adults,,,-,"3,466",253,-2,,,,79,73,8,0,2,0,0,,coloring
ohuhu coloring book,,,9,"1,199",554,1,0.64,0.33,0.73,290,>462,9,1,0,1,0,,coloring
odaagda coloring book,,,-,"17,750",284,65,,,,18,16,8,0,0,1,0,,coloring
octonauts coloring book,,,6,"1,876",347,-24,0.62,0.55,0.69,181,185,8,1,0,0,0,,coloring
"ocean scene: coloring book for adults and kids, bold and easy designs for relaxation with sea life (",,,-,"1,967",236,-11,,,,160,120,8,1,0,1,0,,coloring
ocean scene coloring book,,,26,"1,226",607,-36,1.07,0.93,1.23,435,>495,10,1,3,0,0,,coloring
ocean scene bold and easy coloring book,,,-,"1,701",267,-6,,,,481,157,8,1,2,0,0,,coloring
ocean oasis coloring book,,,-,456,241,5,0.58,0.45,0.71,131,528,8,1,11,0,0,,coloring
ocean coloring book for kids,,,6,403,403,2,0.69,0.58,0.84,252,">1,000",8,1,3,1,0,,coloring
ocean coloring book for adults,,,10,451,451,-5,0.53,0.47,0.74,350,">1,000",8,1,2,0,0,,coloring
ocean bold and easy coloring book,,,-,710,287,-22,0.87,0.73,0.89,185,>404,8,1,0,0,0,,coloring
ocean adult coloring book,,,6,294,294,24,1.43,1.08,1.73,322,">1,000",8,1,1,0,0,,coloring
obx coloring book,,,-,"7,714",324,12,0.88,0.73,1.04,62,42,8,0,0,1,0,,coloring
nyc coloring book,,,-,723,313,-5,,,,207,>433,8,0,1,1,0,,coloring
numbered coloring book for adults,,,-,399,247,14,0.67,0.39,0.76,364,>619,8,0,0,1,0,,coloring
nsfw coloring book,,,1,"1,901",403,33,1,0.76,1.33,308,212,8,0,0,1,0,,coloring
not a safe night coloring book,,,-,"11,091",244,-29,,,,41,22,8,1,0,1,0,,coloring
nostalgic girl coloring book,,,3,"1,471",306,2,0.71,0.55,0.88,455,208,8,0,1,1,0,,coloring
nostalgia coloring book,,,-,637,324,37,,,,327,>509,8,0,7,1,0,,coloring
nook corner coloring book,,,-,"2,592",311,2,,,,322,120,8,0,0,1,0,,coloring
no bleed coloring book,,,1,333,333,-8,0.55,0.37,0.71,458,">1,000",8,1,0,0,0,,coloring
nina luma coloring book,,,-,"4,380",219,23,0.69,0.55,0.81,92,50,8,1,0,1,0,,coloring
nightfall coloring book,,,-,"1,589",205,-19,0.54,0.4,0.74,132,129,8,0,4,1,0,,coloring
nice little town coloring book,,,-,"1,681",279,-1,0.56,0.51,0.61,297,166,8,0,2,1,0,,coloring
nfl football coloring book,,,-,525,231,-11,,,,245,440,8,0,0,1,0,,coloring
nezuko coloring book,,,-,"1,535",241,46,,,,78,157,8,0,0,1,0,,coloring
neon coloring book,,,-,735,313,21,,,,340,>426,8,0,1,1,0,,coloring
naughty thoughts for her coloring book,,,-,"2,383",274,-10,0.92,0.83,1.02,155,115,8,0,1,0,0,,coloring
naughty cats coloring book,,,18,"3,253",553,31,0.73,0.51,1.03,354,170,9,1,0,0,0,,coloring
native american coloring book for adults,,,-,766,315,-9,,,,241,>411,8,0,4,1,0,,coloring
national parks coloring book for adults,,,-,713,249,-24,0.65,0.56,0.81,317,>349,8,0,4,0,0,,coloring
national park coloring book,,,8,831,453,-2,1.01,0.85,1.04,298,>545,8,0,5,1,0,,coloring
nana coloring book,,,-,315,315,42,,,,146,">1,000",8,0,4,1,0,,coloring
mystical muse coloring book,,,-,"4,397",255,-48,0.81,0.69,1.13,84,58,8,0,0,1,0,,coloring
mystery disney coloring book,,,0,"1,242",354,-34,0.58,0.49,0.69,295,285,8,0,0,1,0,,coloring
mystery coloring book by number,,,-,315,315,12,0.77,0.75,0.91,218,">1,000",8,0,0,1,0,,coloring
mysterious planets coloring book,,,-,"2,846",296,22,,,,111,104,8,0,0,1,0,,coloring
my mental breakdown coloring book,,,9,"5,875",470,12,0.68,0.52,1.07,120,80,8,1,1,1,0,,coloring
my little pony the movie coloring book,,,-,"2,918",213,3,,,,97,73,8,0,0,1,0,,coloring
my fuzzy buddies coloring book,,,-,"4,338",282,10,,,,105,65,8,1,0,1,0,,coloring
my book bae coloring book,,,1,"9,154",238,-50,1.04,0.87,1.21,55,26,8,0,7,1,0,,coloring
musical markers coloring book,,,1,839,260,24,0.59,0.53,0.94,346,310,8,0,0,1,0,,coloring
music boyfriend coloring book,,,-,"2,185",201,-21,0.59,0.55,0.82,65,92,8,1,0,0,0,,coloring
murder coloring book,,,-,"1,266",262,-16,0.59,0.55,1,359,>207,8,0,0,0,1,,coloring
ms rachel coloring book,,,25,"4,737",469,-39,0.97,0.74,1.21,215,99,8,0,0,1,0,,coloring
mr hawk coloring book,,,-,"5,182",228,-14,,,,84,44,8,0,0,1,0,,coloring
motivational coloring book bold and easy inspirational quotes,,,-,"1,612",287,29,,,,185,178,8,0,2,0,0,,coloring
mothers day coloring book,,,93,320,320,14,0.75,0.57,0.94,430,">1,000",8,1,2,0,0,,coloring
mother's day coloring book,,,15,285,285,68,0.54,0.27,0.65,145,">1,000",8,1,0,0,0,,coloring
moth coloring book,,,-,0,0,n/a,,,,0,>159,8,0,0,1,1,,coloring
moriah elizabeth coloring book,,,3,"4,292",309,-8,0.46,0.43,0.58,134,72,8,0,0,1,0,,coloring
morgan wallen coloring book,,,-,"4,545",200,21,,,,45,44,8,1,0,0,0,,coloring
monster trucks coloring book,,,-,447,313,14,,,,198,>700,8,0,7,1,0,,coloring
monster truck coloring book for kids 2-4,,,7,"1,336",386,-29,0.59,0.48,0.71,235,>289,8,0,0,1,0,,coloring
mommy and me coloring book,,,4,"1,507",342,1,0.81,0.52,1.03,296,>227,8,0,10,1,0,,coloring
moments of calm coloring book,,,-,805,265,-19,0.72,0.54,0.9,419,>329,8,1,0,1,0,,coloring
mom moments coloring book,,,7,"1,657",469,-25,1,0.84,1.17,345,>283,8,0,3,1,1,,coloring
mom and me coloring book,,,3,442,315,125,0.59,0.5,0.89,217,>713,8,0,3,1,0,,coloring
mojidoo coloring book,,,-,"4,510",221,11,,,,106,49,8,0,0,1,0,,coloring
modern quilting coloring book,,,-,"1,479",287,1,,,,183,194,8,0,1,1,0,,coloring
miss kitch coloring book,,,-,"27,444",247,-27,,,,8,9,8,1,0,1,0,,coloring
minimalist coloring book,,,3,356,296,-9,0.73,0.48,0.96,298,>832,8,0,7,1,0,,coloring
minimal art coloring book,,,-,272,272,-1,,,,225,">1,000",8,0,3,1,0,,coloring
mini adult coloring book,,,7,623,623,-20,0.48,0.32,0.59,336,">1,000",10,0,2,1,0,,coloring
mimi moty coloring book,,,2,"5,209",349,14,0.94,0.63,1.77,94,67,8,0,0,1,0,,coloring
millie marotta adult coloring book,,,-,"1,174",277,-3,0.58,0.51,0.62,292,236,8,0,21,1,0,,coloring
miles morales coloring book,,,-,"1,323",250,-3,0.77,0.46,0.79,203,189,8,0,0,1,0,,coloring
microbiology coloring book,,,7,"2,617",458,2,0.8,0.67,0.87,386,175,8,0,13,1,0,,coloring
michelle marie coloring book,,,-,"3,152",208,29,0.73,0.49,0.88,40,66,8,1,0,1,0,,coloring
mha coloring book,,,2,"3,203",410,-5,0.51,0.46,0.81,316,128,8,0,0,1,0,,coloring
mexican treats coloring book bold and easy,,,2,"1,024",424,2,0.79,0.5,0.94,303,414,8,0,8,0,0,,coloring
mexican treats coloring book,,,13,"4,898",818,13,1,0.71,1.13,333,167,11,0,18,1,0,,coloring
mexican treat coloring book,,,-,375,304,55,0.65,0.3,0.73,414,811,8,0,0,1,0,,coloring
mexican coloring book,,,13,"1,255",817,-28,0.99,0.72,1.18,466,>651,11,0,4,0,1,,coloring
mesmerize coloring book,,,2,"4,215",333,-19,0.62,0.47,0.77,82,79,8,1,2,0,0,,coloring
meowvies coloring book,,,5,"6,349",273,-12,,,,40,43,8,1,0,1,0,,coloring
mental breakdown coloring book,,,4,"4,295",378,14,0.52,0.33,0.72,187,88,8,1,1,1,0,,coloring
melanie martinez coloring book,,,16,"5,503",820,-21,0.9,0.64,0.94,486,149,11,0,0,0,0,,coloring
mei yu coloring book,,,-,"1,915",249,-1,0.59,0.45,0.78,162,130,8,0,0,1,0,,coloring
megan myles coloring book,,,-,"27,500",220,35,,,,13,8,8,1,0,1,0,,coloring
megan miles coloring book,,,3,"2,196",426,27,0.58,0.42,1,293,194,8,0,0,1,0,,coloring
megan miles art coloring book,,,-,"2,035",230,36,1.1,0.78,1.52,154,113,8,0,0,1,0,,coloring
medical terminology coloring book,,,0,"2,649",400,14,,,,223,151,8,0,0,1,0,,coloring
medical girly coloring book,,,-,"1,318",236,-22,0.59,0.52,0.67,266,179,8,0,8,1,0,,coloring
medical assistant coloring book,,,-,315,315,34,0.87,0.73,1.01,167,">1,000",8,0,9,1,0,,coloring
mary heart design studio coloring book,,,-,"12,550",251,47,,,,26,20,8,1,0,1,0,,coloring
mario bro coloring book,,,-,"2,899",229,12,,,,116,79,8,0,0,1,0,,coloring
marine biology coloring book,,,-,733,228,-24,,,,310,>311,8,1,2,0,0,,coloring
marijuana coloring book,,,2,936,349,-14,,,,341,>373,8,0,1,1,0,,coloring
maria trolle coloring book,,,-,"1,962",257,-3,0.55,0.46,0.77,158,131,8,0,0,1,0,,coloring
mandala coloring book for adults easy mandalas for beginners,,,-,331,240,22,,,,190,>724,8,0,0,0,0,,coloring
mama moments coloring book,,,-,"2,479",290,-25,1.03,0.87,1.31,109,117,8,0,0,1,0,,coloring
makeup coloring book,,,6,554,554,-18,0.71,0.57,0.85,310,">1,000",9,0,6,1,0,,coloring
maison nook coloring book,,,-,"9,971",349,-17,1.01,0.39,1.16,48,35,8,0,0,1,0,,coloring
magic pen coloring book for toddlers,,,-,533,307,45,,,,232,>576,8,0,0,1,0,,coloring
magic jars coloring book,,,-,297,297,3,0.47,0.42,0.61,294,">1,000",8,0,8,1,0,,coloring
magic ink coloring book,,,56,"1,904","1,331",2,0.58,0.44,0.83,634,699,29,0,9,1,0,,coloring
ma rachel coloring book,,,-,"10,789",205,-11,,,,45,19,8,1,0,1,0,,coloring
lost in time coloring book,,,-,"1,658",247,8,,,,156,149,8,0,0,1,0,,coloring
lore olympus coloring book,,,1,"5,655",311,56,0.79,0.74,0.86,76,55,8,0,1,1,0,,coloring
lord of the rings coloring book,,,4,"3,855",690,-6,0.67,0.4,0.77,271,179,10,0,0,1,0,,coloring
looney tunes coloring book,,,7,"4,144",431,-5,0.57,0.48,0.66,313,>104,8,0,1,1,0,,coloring
lola and friends coloring book,,,-,"4,597",285,6,,,,68,62,8,0,0,1,0,,coloring
live laugh f off coloring book,,,-,"5,863",299,24,,,,77,51,8,0,0,1,0,,coloring
little spooky cute and comfy coloring book,,,-,819,213,-9,0.78,0.61,0.96,305,260,8,1,0,1,0,,coloring
little spooky coloring book,,,8,"1,069",388,-11,0.45,0.36,0.62,447,>363,8,1,2,1,0,,coloring
little shop coloring book,,,-,232,227,-24,,,,226,>978,8,1,0,1,0,,coloring
little nook coloring book,,,2,"1,449",313,17,,,,447,216,8,1,0,1,0,,coloring
little moments coloring book,,,2,425,373,-20,0.57,0.48,0.67,291,>878,8,1,1,1,0,,coloring
little mermaid coloring book,,,15,431,431,-1,0.81,0.57,0.91,282,">1,000",8,1,2,0,0,,coloring
little cuddles coloring book coco wyo,,,13,"12,960",324,-63,0.72,0.65,0.8,36,25,8,0,0,1,0,,coloring
little cuddles coloring book,,,26,"4,313",690,-62,0.88,0.8,1.05,158,160,10,1,0,1,1,,coloring
little cozy coloring book,,,-,423,324,4,0.58,0.52,0.64,474,>766,8,1,0,1,1,,coloring
little corners coloring book,,,-,307,257,-13,0.59,0.54,0.64,351,>838,8,1,0,1,0,,coloring
little corner cute & comfy coloring book,,,-,"1,203",308,2,0.68,0.44,0.73,405,256,8,1,0,1,0,,coloring
little corner coloring book for adults and teens,,,-,663,267,-25,0.97,0.81,1.09,417,>403,8,1,0,1,0,,coloring
little corner coloring book for adults,,,-,312,205,41,,,,256,>657,8,1,0,1,0,,coloring
little corner coloring book christmas,,,-,"1,461",260,-15,,,,357,178,8,1,0,1,0,,coloring
little corner coloring book,,,107,"2,937","2,599",-15,0.9,0.68,1.09,762,>885,28,1,3,1,1,,coloring
little baby steven turtle coloring book,,,-,"38,429",269,-14,,,,22,7,8,1,0,1,0,,coloring
lisa frank coloring book,,,45,"10,475","3,352",-10,0.58,0.46,0.87,728,320,29,0,1,1,0,,coloring
lilo and stitch coloring book,,,86,"8,813","2,353",16,0.58,0.43,0.77,660,267,28,0,3,1,0,,coloring
life with a fat pussy cat coloring book,,,-,"7,324",271,-25,0.38,0.37,0.47,68,37,8,1,0,0,0,,coloring
lets get high and color coloring book,,,-,677,249,55,0.58,0.42,0.74,363,368,8,0,2,1,0,,coloring
leons journey coloring book,,,-,"3,703",274,1,,,,83,74,8,0,0,1,0,,coloring
large print easy color & frame - stress free adult coloring book,,,-,"1,957",321,-1,,,,210,164,8,1,0,1,0,,coloring
large print easy color & frame - stress free (adult coloring book),,,-,"1,831",238,-5,0.49,0.44,0.8,202,130,8,1,0,0,0,,coloring
lanky box coloring book,,,-,"13,625",218,28,1.08,0.96,1.84,6,16,8,1,0,0,0,,coloring
land before time coloring book,,,-,"4,431",257,-5,,,,70,58,8,0,4,1,0,,coloring
lala friends coloring book,,,5,"2,305",272,-57,1.02,0.66,1.11,103,118,8,1,0,0,0,,coloring
labyrinth coloring book,,,-,328,328,13,,,,312,">1,000",8,0,3,1,0,,coloring
labubu coloring book,,,31,"18,956","1,706",64,0.95,0.77,1.37,225,90,26,0,0,1,0,,coloring
labrynth adult coloring book,,,-,287,287,23,,,,290,">1,000",8,0,0,1,0,,coloring
kuki puff coloring book,,,-,"2,291",268,10,0.38,0.29,0.48,137,117,8,1,0,1,1,,coloring
kpop coloring book,,,3,"2,266",426,1,0.65,0.36,0.7,314,188,8,0,4,1,0,,coloring
korean english bilingual coloring book,,,-,"3,000",315,10,0.96,0.56,1.12,295,105,8,0,1,1,0,,coloring
korean coloring book,,,2,461,451,1,0.49,0.43,0.53,389,>978,8,0,3,0,0,,coloring
koko kozy coloring book,,,-,"13,909",306,52,,,,47,22,8,1,1,1,0,,coloring
koalasutra coloring book,,,9,"14,855","1,129",-39,0.71,0.61,0.96,84,76,26,1,1,1,0,,coloring
kitty coloring book,,,-,231,231,-23,0.54,0.36,0.61,347,">1,000",8,1,4,1,0,,coloring
kirby coloring book,,,2,"3,309",407,-4,0.85,0.53,0.93,285,123,8,0,0,1,0,,coloring
kingdom life coloring book,,,5,"1,723",267,-28,0.86,0.81,0.91,263,>155,8,0,0,1,0,,coloring
king of the hill coloring book,,,-,"2,137",203,-30,,,,95,95,8,0,1,1,0,,coloring
kimmi the clown coloring book,,,-,"4,397",299,-24,0.5,0.4,0.61,118,68,8,0,2,1,0,,coloring
kikys coloring book,,,-,"4,545",200,24,0.68,0.64,0.74,26,44,8,0,0,1,0,,coloring
kids anatomy coloring book,,,-,249,204,1,,,,296,>820,8,0,0,1,0,,coloring
kendall rae coloring book,,,-,"14,286",300,4,,,,49,21,8,0,0,1,0,,coloring
kendall azevedo coloring book,,,2,"2,557",335,22,0.49,0.36,0.5,140,131,8,1,0,0,0,,coloring
ken matsuda coloring book,,,-,"4,618",254,-5,,,,80,55,8,0,0,1,0,,coloring
kdp coloring book,,,-,"2,727",300,-6,,,,248,>110,8,1,0,0,0,,coloring
kawaii mushroom coloring book,,,-,242,242,-14,,,,158,">1,000",8,0,10,0,0,,coloring
katie nicole coloring book,,,11,"6,815",443,64,0.91,0.9,1.19,65,65,8,0,0,1,0,,coloring
kaplan anatomy coloring book,,,22,"5,159",748,-16,0.77,0.56,1.14,109,145,11,0,2,1,0,,coloring
kandide coloring book,,,-,"9,600",240,8,,,,36,25,8,0,0,1,0,,coloring
k12 melanie martinez coloring book,,,-,"31,000",279,1,,,,23,9,8,0,0,1,0,,coloring
k-12 coloring book,,,-,297,297,25,0.62,0.4,0.64,364,">1,000",8,0,1,1,0,,coloring
justin bieber coloring book,,,-,"3,208",231,-24,,,,97,72,8,1,1,1,0,,coloring
just girly things coloring book,,,3,"2,803",426,-9,0.48,0.33,0.62,363,152,8,1,4,0,0,,coloring
just chilling and killing coloring book,,,11,"10,350",621,21,0.9,0.75,1.21,84,60,10,0,0,1,0,,coloring
jurassic cuddles coloring book,,,-,"14,143",297,7,0.88,0.86,1.29,55,21,8,1,0,0,0,,coloring
jumbo coloring book for adults,,,2,355,355,10,0.48,0.36,0.64,268,">1,000",8,1,0,1,0,,coloring
